customer_profile_key,age,age_band,job,marital,education,education_group,default_status,housing_status,loan_status,housing_loan_profile,personal_loan_profile,credit_exposure_profile
35,41,40-49,admin.,married,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
36,56,50-59,technician,married,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
37,58,50-59,management,unknown,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
38,32,30-39,entrepreneur,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
39,38,30-39,admin.,single,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
40,57,50-59,admin.,married,university.degree,tertiary,no,no,yes,no housing loan,personal loan,single loan exposure
41,44,40-49,admin.,married,university.degree,tertiary,unknown,yes,no,housing loan,no personal loan,single loan exposure
42,42,40-49,technician,single,professional.course,professional,unknown,no,no,no housing loan,no personal loan,exposure unknown
43,57,50-59,admin.,married,university.degree,tertiary,no,yes,yes,housing loan,personal loan,housing + personal loan
44,40,40-49,blue-collar,married,basic.9y,foundational,no,no,yes,no housing loan,personal loan,single loan exposure
45,35,30-39,admin.,married,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
46,45,40-49,blue-collar,married,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
47,54,50-59,admin.,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
48,39,30-39,housemaid,married,basic.4y,foundational,no,no,yes,no housing loan,personal loan,single loan exposure
49,60,60+,admin.,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
50,53,50-59,admin.,single,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
51,55,50-59,blue-collar,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
52,55,50-59,technician,married,professional.course,professional,unknown,yes,no,housing loan,no personal loan,single loan exposure
53,50,50-59,management,married,university.degree,tertiary,unknown,no,yes,no housing loan,personal loan,single loan exposure
54,45,40-49,services,married,high.school,secondary,unknown,yes,no,housing loan,no personal loan,single loan exposure
55,55,50-59,unemployed,married,professional.course,professional,unknown,yes,yes,housing loan,personal loan,housing + personal loan
56,25,17-29,technician,single,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
57,47,40-49,entrepreneur,married,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
58,51,50-59,blue-collar,married,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
59,42,40-49,blue-collar,married,basic.6y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
60,42,40-49,blue-collar,married,basic.6y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
61,48,40-49,admin.,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
62,37,30-39,admin.,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
63,44,40-49,blue-collar,single,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
64,33,30-39,admin.,married,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
65,56,50-59,admin.,married,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
66,44,40-49,blue-collar,single,basic.4y,foundational,unknown,yes,yes,housing loan,personal loan,housing + personal loan
67,41,40-49,management,married,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
68,44,40-49,management,divorced,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
69,47,40-49,admin.,married,university.degree,tertiary,unknown,yes,no,housing loan,no personal loan,single loan exposure
70,57,50-59,unknown,married,unknown,unknown,unknown,no,no,no housing loan,no personal loan,exposure unknown
71,37,30-39,admin.,married,university.degree,tertiary,unknown,yes,no,housing loan,no personal loan,single loan exposure
72,41,40-49,blue-collar,divorced,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
73,55,50-59,technician,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
74,33,30-39,services,married,high.school,secondary,unknown,yes,no,housing loan,no personal loan,single loan exposure
75,55,50-59,management,married,unknown,unknown,unknown,yes,no,housing loan,no personal loan,single loan exposure
76,42,40-49,blue-collar,married,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
77,50,50-59,blue-collar,married,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
78,51,50-59,blue-collar,married,basic.4y,foundational,unknown,unknown,unknown,unknown,unknown,exposure unknown
79,38,30-39,admin.,married,high.school,secondary,unknown,no,no,no housing loan,no personal loan,exposure unknown
80,49,40-49,entrepreneur,married,university.degree,tertiary,unknown,yes,no,housing loan,no personal loan,single loan exposure
81,38,30-39,technician,single,university.degree,tertiary,no,no,yes,no housing loan,personal loan,single loan exposure
82,31,30-39,admin.,divorced,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
83,39,30-39,admin.,married,university.degree,tertiary,no,yes,yes,housing loan,personal loan,housing + personal loan
84,49,40-49,technician,married,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
85,34,30-39,admin.,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
86,57,50-59,unknown,married,unknown,unknown,unknown,yes,no,housing loan,no personal loan,single loan exposure
87,60,60+,admin.,married,unknown,unknown,unknown,no,yes,no housing loan,personal loan,single loan exposure
88,33,30-39,unemployed,married,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
89,42,40-49,blue-collar,married,basic.6y,foundational,no,no,yes,no housing loan,personal loan,single loan exposure
90,45,40-49,services,married,professional.course,professional,no,yes,no,housing loan,no personal loan,single loan exposure
91,42,40-49,management,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
92,53,50-59,admin.,divorced,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
93,37,30-39,technician,single,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
94,44,40-49,blue-collar,married,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
95,54,50-59,services,married,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
96,49,40-49,blue-collar,married,basic.4y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
97,54,50-59,services,married,unknown,unknown,no,no,no,no housing loan,no personal loan,no reported loan exposure
98,52,50-59,admin.,divorced,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
99,43,40-49,services,single,high.school,secondary,unknown,no,no,no housing loan,no personal loan,exposure unknown
100,34,30-39,housemaid,married,basic.6y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
101,35,30-39,admin.,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
102,42,40-49,entrepreneur,married,unknown,unknown,unknown,yes,no,housing loan,no personal loan,single loan exposure
103,43,40-49,technician,married,unknown,unknown,unknown,yes,yes,housing loan,personal loan,housing + personal loan
104,60,60+,retired,divorced,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
105,58,50-59,unemployed,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
106,35,30-39,services,divorced,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
107,55,50-59,blue-collar,married,basic.9y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
108,37,30-39,management,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
109,36,30-39,blue-collar,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
110,57,50-59,blue-collar,divorced,unknown,unknown,unknown,yes,no,housing loan,no personal loan,single loan exposure
111,56,50-59,admin.,married,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
112,48,40-49,blue-collar,divorced,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
113,40,40-49,blue-collar,married,high.school,secondary,unknown,yes,no,housing loan,no personal loan,single loan exposure
114,49,40-49,blue-collar,divorced,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
115,41,40-49,services,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
116,45,40-49,technician,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
117,32,30-39,admin.,married,university.degree,tertiary,no,yes,yes,housing loan,personal loan,housing + personal loan
118,42,40-49,admin.,married,university.degree,tertiary,no,no,yes,no housing loan,personal loan,single loan exposure
119,50,50-59,admin.,married,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
120,31,30-39,technician,divorced,professional.course,professional,no,yes,yes,housing loan,personal loan,housing + personal loan
121,56,50-59,retired,married,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
122,41,40-49,technician,married,professional.course,professional,unknown,yes,no,housing loan,no personal loan,single loan exposure
123,37,30-39,blue-collar,married,basic.6y,foundational,no,yes,yes,housing loan,personal loan,housing + personal loan
124,41,40-49,technician,married,professional.course,professional,unknown,no,no,no housing loan,no personal loan,exposure unknown
125,35,30-39,blue-collar,married,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
126,37,30-39,blue-collar,married,basic.6y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
127,52,50-59,management,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
128,39,30-39,management,divorced,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
129,39,30-39,housemaid,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
130,56,50-59,blue-collar,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
131,34,30-39,services,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
132,45,40-49,blue-collar,married,basic.9y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
133,43,40-49,unemployed,single,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
134,56,50-59,management,married,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
135,39,30-39,management,married,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
136,53,50-59,blue-collar,married,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
137,38,30-39,unknown,divorced,high.school,secondary,unknown,yes,no,housing loan,no personal loan,single loan exposure
138,42,40-49,blue-collar,married,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
139,42,40-49,blue-collar,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
140,35,30-39,admin.,single,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
141,40,40-49,admin.,married,university.degree,tertiary,unknown,yes,no,housing loan,no personal loan,single loan exposure
142,51,50-59,blue-collar,married,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
143,60,60+,blue-collar,married,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
144,56,50-59,entrepreneur,married,unknown,unknown,unknown,yes,no,housing loan,no personal loan,single loan exposure
145,39,30-39,services,divorced,high.school,secondary,unknown,yes,no,housing loan,no personal loan,single loan exposure
146,56,50-59,entrepreneur,married,unknown,unknown,unknown,no,no,no housing loan,no personal loan,exposure unknown
147,40,40-49,blue-collar,married,unknown,unknown,no,yes,yes,housing loan,personal loan,housing + personal loan
148,36,30-39,blue-collar,married,basic.9y,foundational,no,yes,yes,housing loan,personal loan,housing + personal loan
149,51,50-59,blue-collar,married,unknown,unknown,unknown,yes,no,housing loan,no personal loan,single loan exposure
150,51,50-59,blue-collar,married,unknown,unknown,unknown,no,no,no housing loan,no personal loan,exposure unknown
151,43,40-49,technician,single,professional.course,professional,no,yes,no,housing loan,no personal loan,single loan exposure
152,59,50-59,services,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
153,24,17-29,management,single,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
154,37,30-39,blue-collar,single,basic.9y,foundational,unknown,yes,yes,housing loan,personal loan,housing + personal loan
155,40,40-49,blue-collar,married,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
156,39,30-39,services,divorced,high.school,secondary,unknown,no,no,no housing loan,no personal loan,exposure unknown
157,37,30-39,entrepreneur,married,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
158,38,30-39,services,married,high.school,secondary,no,yes,yes,housing loan,personal loan,housing + personal loan
159,56,50-59,admin.,divorced,unknown,unknown,unknown,no,no,no housing loan,no personal loan,exposure unknown
160,40,40-49,blue-collar,married,unknown,unknown,no,no,no,no housing loan,no personal loan,no reported loan exposure
161,54,50-59,management,divorced,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
162,43,40-49,blue-collar,married,high.school,secondary,unknown,no,yes,no housing loan,personal loan,single loan exposure
163,36,30-39,services,married,high.school,secondary,unknown,no,no,no housing loan,no personal loan,exposure unknown
164,45,40-49,technician,married,university.degree,tertiary,no,yes,yes,housing loan,personal loan,housing + personal loan
165,42,40-49,admin.,single,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
166,43,40-49,services,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
167,46,40-49,management,married,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
168,44,40-49,services,married,high.school,secondary,no,yes,yes,housing loan,personal loan,housing + personal loan
169,51,50-59,admin.,single,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
170,28,17-29,services,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
171,37,30-39,blue-collar,married,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
172,34,30-39,technician,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
173,46,40-49,blue-collar,married,basic.6y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
174,42,40-49,blue-collar,married,basic.9y,foundational,no,yes,yes,housing loan,personal loan,housing + personal loan
175,36,30-39,admin.,married,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
176,54,50-59,blue-collar,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
177,57,50-59,management,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
178,51,50-59,technician,married,basic.6y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
179,54,50-59,retired,married,high.school,secondary,unknown,no,no,no housing loan,no personal loan,exposure unknown
180,49,40-49,blue-collar,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
181,34,30-39,admin.,married,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
182,41,40-49,technician,married,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
183,38,30-39,blue-collar,single,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
184,45,40-49,management,divorced,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
185,42,40-49,technician,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
186,34,30-39,blue-collar,single,basic.9y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
187,48,40-49,blue-collar,married,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
188,37,30-39,admin.,married,high.school,secondary,unknown,yes,no,housing loan,no personal loan,single loan exposure
189,34,30-39,blue-collar,single,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
190,40,40-49,admin.,married,basic.9y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
191,43,40-49,blue-collar,married,basic.6y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
192,33,30-39,services,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
193,32,30-39,services,single,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
194,39,30-39,blue-collar,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
195,43,40-49,admin.,married,unknown,unknown,no,no,no,no housing loan,no personal loan,no reported loan exposure
196,44,40-49,blue-collar,married,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
197,35,30-39,student,single,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
198,35,30-39,student,single,university.degree,tertiary,unknown,yes,yes,housing loan,personal loan,housing + personal loan
199,35,30-39,unemployed,married,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
200,36,30-39,services,single,basic.4y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
201,35,30-39,student,single,university.degree,tertiary,unknown,yes,no,housing loan,no personal loan,single loan exposure
202,36,30-39,student,single,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
203,55,50-59,housemaid,divorced,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
204,59,50-59,admin.,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
205,57,50-59,retired,married,unknown,unknown,unknown,no,no,no housing loan,no personal loan,exposure unknown
206,39,30-39,blue-collar,married,professional.course,professional,unknown,yes,no,housing loan,no personal loan,single loan exposure
207,39,30-39,housemaid,married,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
208,30,30-39,blue-collar,single,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
209,30,30-39,blue-collar,single,unknown,unknown,no,yes,yes,housing loan,personal loan,housing + personal loan
210,50,50-59,housemaid,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
211,40,40-49,services,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
212,43,40-49,technician,married,unknown,unknown,unknown,no,no,no housing loan,no personal loan,exposure unknown
213,36,30-39,services,single,basic.6y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
214,46,40-49,technician,married,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
215,40,40-49,technician,married,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
216,58,50-59,retired,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
217,35,30-39,admin.,single,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
218,43,40-49,retired,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
219,45,40-49,blue-collar,married,basic.4y,foundational,no,yes,yes,housing loan,personal loan,housing + personal loan
220,39,30-39,admin.,married,professional.course,professional,no,yes,no,housing loan,no personal loan,single loan exposure
221,50,50-59,services,divorced,professional.course,professional,no,yes,no,housing loan,no personal loan,single loan exposure
222,32,30-39,management,divorced,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
223,39,30-39,admin.,married,high.school,secondary,unknown,no,no,no housing loan,no personal loan,exposure unknown
224,52,50-59,self-employed,married,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
225,44,40-49,admin.,married,professional.course,professional,no,yes,no,housing loan,no personal loan,single loan exposure
226,56,50-59,blue-collar,married,basic.4y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
227,33,30-39,services,married,high.school,secondary,unknown,no,yes,no housing loan,personal loan,single loan exposure
228,43,40-49,management,married,university.degree,tertiary,unknown,no,yes,no housing loan,personal loan,single loan exposure
229,57,50-59,retired,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
230,36,30-39,technician,single,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
231,34,30-39,management,married,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
232,34,30-39,services,single,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
233,30,30-39,technician,married,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
234,33,30-39,services,divorced,unknown,unknown,no,no,no,no housing loan,no personal loan,no reported loan exposure
235,32,30-39,technician,single,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
236,36,30-39,technician,single,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
237,36,30-39,blue-collar,single,high.school,secondary,no,no,yes,no housing loan,personal loan,single loan exposure
238,33,30-39,services,single,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
239,40,40-49,technician,divorced,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
240,41,40-49,blue-collar,married,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
241,51,50-59,services,married,basic.6y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
242,36,30-39,technician,married,professional.course,professional,no,yes,no,housing loan,no personal loan,single loan exposure
243,28,17-29,services,married,unknown,unknown,no,no,no,no housing loan,no personal loan,no reported loan exposure
244,53,50-59,services,married,high.school,secondary,no,yes,yes,housing loan,personal loan,housing + personal loan
245,58,50-59,blue-collar,married,basic.9y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
246,45,40-49,management,married,basic.9y,foundational,no,no,yes,no housing loan,personal loan,single loan exposure
247,43,40-49,technician,married,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
248,33,30-39,admin.,married,high.school,secondary,no,no,yes,no housing loan,personal loan,single loan exposure
249,27,17-29,blue-collar,single,basic.6y,foundational,no,unknown,unknown,unknown,unknown,exposure unknown
250,42,40-49,technician,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
251,43,40-49,admin.,divorced,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
252,42,40-49,admin.,married,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
253,27,17-29,blue-collar,single,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
254,34,30-39,self-employed,single,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
255,31,30-39,student,single,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
256,54,50-59,management,divorced,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
257,40,40-49,self-employed,married,basic.4y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
258,52,50-59,unemployed,married,high.school,secondary,unknown,yes,no,housing loan,no personal loan,single loan exposure
259,47,40-49,management,divorced,university.degree,tertiary,no,no,no,no housing loan,no personal loan,no reported loan exposure
260,49,40-49,housemaid,married,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
261,32,30-39,admin.,single,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
262,49,40-49,housemaid,single,high.school,secondary,unknown,yes,yes,housing loan,personal loan,housing + personal loan
263,50,50-59,blue-collar,married,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
264,47,40-49,technician,single,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
265,51,50-59,retired,married,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
266,47,40-49,blue-collar,married,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
267,53,50-59,admin.,married,basic.9y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
268,36,30-39,blue-collar,married,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
269,42,40-49,blue-collar,divorced,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
270,44,40-49,blue-collar,divorced,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
271,39,30-39,housemaid,married,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
272,37,30-39,admin.,single,high.school,secondary,no,yes,yes,housing loan,personal loan,housing + personal loan
273,60,60+,blue-collar,married,unknown,unknown,unknown,yes,no,housing loan,no personal loan,single loan exposure
274,36,30-39,services,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
275,42,40-49,management,divorced,university.degree,tertiary,no,yes,no,housing loan,no personal loan,single loan exposure
276,31,30-39,admin.,married,high.school,secondary,no,yes,yes,housing loan,personal loan,housing + personal loan
277,53,50-59,technician,divorced,professional.course,professional,unknown,no,yes,no housing loan,personal loan,single loan exposure
278,45,40-49,blue-collar,married,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
